Restaurant,Neighborhood,Phone,Website,IG
Jay Bee's,Gardena,(310) 532-1064,https://www.yelp.com/biz/jay-bees-bar-b-q-gardena-3,@jaybeesbbq
Matthews Home Style Cooking,Gardena,(310) 817-5496,https://matthewshomestylecooking.business.site/,@matthewshomestylecooking
Mr Fries Man,Gardena,(424) 292-3616,https://www.mrfriesman.com/,@mr_fries_man
Oh My Burger,Gardena,(310) 756-6522,https://www.ohmyburgerla.com/,@ohmyburger
Popbelli Deli,Gardena,(562) 374-0658,https://www.yelp.com/biz/pop-belli-deli-gardena-2?osq=pop+belli+deli,@popbellideli
The Soul Food Shack,Gardena,(323) 923-8982,https://soulfoodshackgarde.wixsite.com/soulfoodshack,@thesoulfoodshack
Yo-Way Deli,Gardena,(424) 228-1101,https://yowayeatery.com/,@eatyoway
Big Chicken,Glendale,(818) 245-6886,https://www.bigchicken.com/,@bigchickenshaq
Dulan's Soul Food Kitchen,Gramercy Park,(323) 418-8527,https://www.dulans-sfk.com/,@dulanssoulfoodkitchen
Happy Ice,Gramercy Park,(215) 800-3965,https://happyicela.com/,@happyice
B&R's Old-Fashion Burgers,Hawthorne,(310) 679-4774,http://www.bandrburgers.com/,@br_burgers
Busy Baking,Hawthorne,(323) 919-3937,https://www.busybaking.info/,@busybaking12
Mo Better Burgers,Hawthorne,(323) 531-1749,https://mo-better-burgers-south-bay.business.site/,@mobettersb
Harold's Chicken,Hollywood,(323) 645-7049,https://www.haroldschickenla.com/,@haroldschickenla
Roscoe's Chicken and Waffles,Hollywood,(323) 466-7453,https://www.roscoeschickenandwaffles.com/,@roscoesofficial
The Vtree,Hollywood,(202) 413-4083,https://www.thevtreehollywood.com/,@thevtreehollywood
Hambone's Smokehouse,Huntington Beach,(714) 968-1261,http://hambonesbarandgrill.com/,@hambones_smokehouse
Granny's Kitchen Southern Style Soul Food,Huntington Park,(877) 462-6694,https://www.yelp.com/biz/grannys-kitchen-los-angeles,@grannys_kitchen_soulfood
Brother’s Bar-B-Que,Hyde Park,(323) 751-1050,https://www.brotherbarbequecatering.com/,@brothers_barbque
CW & Chris Fish and Chicken,Hyde Park,(323) 750-9403,https://cwandchris.wixsite.com/cwandchris,N/A
Grilled Fraiche,Hyde Park,(323) 389-8888,https://www.instagram.com/grilledfraiche/,@grilledfraiche
Mama’s Chicken and Market,Hyde Park,(323) 292-9696,http://www.mamaschicken.name/,N/A
Red's Flavor Table,Hyde Park,(323) 615-0234,https://www.redsflavortable.com/,@redsflavortable
Woody's BBQ,Hyde Park,(323) 294-9443,http://www.woodysbarbquela.com/,N/A
Aduke Nigerian Cuisine,Inglewood,(213) 261-0737,https://aduke-african-cuisne.business.site/,@adukecuisine
Airport Royal Cuisine,Inglewood,(562) 413-2294,https://www.yelp.com/biz/airport-royal-cuisine-inglewood,N/A
Banadir Somali Restaurant,Inglewood,(310) 419-9900,http://banadir-somali-restaurant.cafe-inspector.com/,@banadirsomalirestaurant
Bayou Grille,Inglewood,(310) 673-0824,https://www.bayougrille.net/,@bayougrille
Blessed Tropical Jamaican Cuisine,Inglewood,(310) 330-0649,https://www.yelp.com/biz/blessed-tropical-jamaican-cuisine-inglewood,@blessedtropicaljamaicancuisin
"Cobblers, Cakes & Kream",Inglewood,(323) 455-1224,https://cobblerscakesandkream.com/,@cobblerscakesandkream
Comfort LA,Inglewood,(424) 702-5138,https://www.eatcomfortla.com/,@comfort_la
Dulan's Soul Food Kitchen,Inglewood,(310) 671-3345,https://www.dulans-sfk.com/,@dulanssoulfoodkitchen
Fish Bone Seafood,Inglewood,(310) 673-6452,https://fishboneseafood.com/fishbone-seafood-inglewood/,@fishboneseafoodinglewood
Harriet's Cheesecakes Unlimited,Inglewood,(310) 419-2259,https://www.yelp.com/biz/harriets-cheesecakes-unlimited-inglewood,@harriets_cheesecakes_unlimited
Hilltop Coffee + Kitchen,Inglewood,(323) 743-8100,https://www.findyourhilltop.com/,@findyourhilltop
Karuba's Yardy Kitchen,Inglewood,(424) 312-1055,https://karubas-yardy-kitchen.business.site/,@karubasyardykitchen
Kenny Q's BBQ,Inglewood,(424) 312-1105,https://www.kennysqbbq.com/,@kennysqbbq
Lavender Blue Restaurant Lounge,Inglewood,(424) 227-6712,http://www.lavenderbluela.com/,@lavenderbluela
Lee's Caribbean Restaurant,Inglewood,(310) 419-6550,https://www.yelp.com/biz/lees-caribbean-restaurant-inglewood,@leescaribbeanrest
Little Belize Restaurant,Inglewood,(310) 674-0696,https://littlebelizerestaurant.com/,@littlebelize
Ms. B's M&M Soul Food,Inglewood,(310) 330-2697,https://www.msbsmandmsoulfoodrestaurant.com/,@ms.bsmandmsoulfood
Nkechi African Cafe,Inglewood,(323) 541-1265,https://www.yelp.com/biz/nkechi-african-cafe-inglewood,N/A
Red's Flavor Table,Inglewood,(424) 331-5000,https://www.redsflavortable.com/,@redsflavortable
Roscoe's Chicken and Waffles,Inglewood,(310) 981 4141,https://www.roscoeschickenandwaffles.com/,@roscoesofficial
Rusty Pot Cafe,Inglewood,(310) 412-5901,https://rustypotcafe.com/,@rustypotcafe
Sip & Sonder,Inglewood,N/A,https://www.sipandsonder.com/,@sipandsonder
Stuff I Eat,Inglewood,(310) 671-0115,https://www.stuffieat.com/,@stuffieat_inglewood
Sumptuous African Restaurant,Inglewood,(310) 654-3145,http://sumptuousafricanrestaurant.com/,@sumptuousafrican
Sweet Red Peach,Inglewood,(310) 671-2253,https://www.sweetredpeach.com/,@sweetredpeach
The Serving Spoon,Inglewood,(310) 412-3927,https://theservingspoon.net/,@theservingspoon
Veronica's Kitchen,Inglewood,(310) 673-4890,https://www.yelp.com/biz/veronicas-kitchen-inglewood,N/A
Woody's BBQ,Inglewood,(310) 672-4200,http://www.woodysbarbquela.com/,@woodys_bbq_inglewood
Harold and Belle's,Jefferson Park,(323) 735-9023,https://haroldandbelles.com/,@haroldandbellesrestaurant
Revolutionario North African Tacos,Jefferson Park,(424) 223-3526,http://revolutionario.com/menu/,@chefzadi
Undergrind Cafe,La Cienega Heights,(310) 730-6392,http://www.undergrindcafe.com/,@undergrindcafe
Doll Babee Cheesecakes,Lakewood,(424) 261-2041,http://dollbabeecheesecakes.com/,@dollbabeecheesecakes
M'Dears,Lakewood,(323) 759-2020,https://www.mdears.net/,@mdears2450
Smakk'D Refreshers & Teas,Lakewood,(424) 785-4212,https://www.smakkdrefreshers.com/,@smakkd_
Taco Mell,Lakewood,(562) 608-5689,https://tacomell.net/,@tmclakewoodcenter
Woody's BBQ,Lakewood,(323) 758-8303,http://www.woodysbarbquela.com/,@woodysflorence
Time 2 Grub,Lancaster,(661) 468-0280,https://www.yelp.com/biz/time-2-grub-lancaster-4,@time2grub661
Ackee Bamboo,Leimert Park,(323) 295-7275,http://ackeebamboojacuisine.com/,@ackeebamboo
Azla Vegan,Leimert Park,(213) 745-7455,https://azlavegan.com/,@azlavegan
Baba’s Vegan Cafe,Leimert Park,(310) 910-2942,https://www.babasvegancafe.com/,@babasvegancafe
Castle's Catering,Leimert Park,(818) 724-4866,https://www.castlescatering.com,@castlescatering
Harun Coffee,Leimert Park,(323) 815-9944,https://harunintl.com/,@haruncoffee
Dulan's on Crenshaw,Leimert Park,(323) 296-3034,https://dulansoncrenshaw.com/,@dulansoncrenshaw
Earle's On Crenshaw,Leimert Park,(323) 299-2867,https://earlesrestaurant.com/,@earlesoncrenshaw
Hot & Cool Cafe,Leimert Park,(323) 903-6449,https://hotandcoolcafe.com/,@hotandcoolcafe
Swift Cafe,Leimert Park,(323) 815-4418,https://swift-la.com/,@theofficialswiftcafe
Taco Mell,Leimert Park,(844) 822-6635,https://tacomell.net/,@tacomellcatering
Annie's Soul Delicious,Little Ethiopia,(323) 424-7402,https://www.anniessouldelicious.com/,@aesouldelicious
Awash Restaurant,Little Ethiopia,(323) 939-3233,http://awashrestaurantlosangeles.mybistro.online/,N/A
Buna Ethiopian Restaurant & Market,Little Ethiopia,(323) 964-9731,https://bunaethiopianmarket.com/,@bunaethiopian
Lalibela,Little Ethiopia,(323) 965-1025,https://www.yelp.com/biz/lalibela-ethiopian-restaurant-los-angeles,N/A
Meals By Genet,Little Ethiopia,(323) 938-9304,http://mealsbygenetla.com/,N/A
Merkato,Little Ethiopia,(323) 935-1775,https://www.yelp.com/biz/merkato-ethiopian-restaurant-and-market-los-angeles,@merkatorestaurant
Messob Ethiopian Restaurant,Little Ethiopia,(323) 938-8827,https://www.messob.com/,@messob_ethiopian_restaurant
Rahel,Little Ethiopia,(323)-937-8401,http://rahelvegancuisine.com/,N/A
Rosalind’s Ethiopian Restaurant,Little Ethiopia,(323) 936-2486,https://rosalindsla.com,@rosalindsrestaurant
Taco Bar,Little Ethiopia,(323) 433-7000,https://tacobarla.com/,@tacobarla
Chipper & Cheeky,Long Beach,(310) 817-0986,https://www.chipperandcheeky.com/,@chipperncheeky
Derrick's On Atlantic,Long Beach,(562) 337-8131,https://derricksonatlantic.com/,@derricksonatlantic
Georgia's Restaurant,Long Beach,(562) 420-5637,https://www.georgias-restaurant.com/,@georgiassoul
Handy’s Smoke House Delicacies,Long Beach,(562) 424-8300,http://www.handyssmokehousemeats.com/,@handyssmokehouse
J. Looney's New Orleans Culture Food Restaurant,Long Beach,(562) 612-3355,https://www.yelp.com/biz/j-looneys-long-beach-2,@jlooneyscltrfd
Louisiana Charlie's,Long Beach,(562) 432-6737,http://www.louisianacharlies.com/,@louisianacharlies
Mabel's Gourmet Pralines,Long Beach,(562) 682-7156,https://www.yelp.com/biz/mabels-gourmet-pralines-long-beach,@mabelsgourmetpralines
O’Nells Comfort Kitchen,Long Beach,(562) 283-3434,https://www.yelp.com/biz/o-nells-comfort-kitchen-long-beach,@onellscomfortkitchen
Robert Earl’s BBQ,Long Beach,(562) 726-1116,http://robertearlsbbq.com/,@robertearlsbbq
Roscoe's Chicken and Waffles,Long Beach,(562) 437-8355,https://www.roscoeschickenandwaffles.com/,@roscoesofficial
Royal Gourmet Cookies,Long Beach,(562) 208-5802,https://royalgourmetcookies.com/,@royalgourmetcookies
Sal's Gumbo,Long Beach,(562) 422-8100,http://www.salsgumboshack.com/,@salsgumboshack
Tanjee Bakes,Long Beach,(310) 756-8056,https://www.tanjeebakes.com/,@tanjeebakes
The Corner 10th’s BBQ,Long Beach,(562) 434-0445,https://www.thecorner10th.com/,@the_corner_10th_
Grilled Fraiche,Manchester,(323) 744-2100,https://www.instagram.com/grilledfraiche/,@grilledfraiche
Cafe Buna,Marina Del Rey,(310) 823-2430,https://cafe-buna.business.site/,@cafebuna_mdr
Sky's Gourmet Tacos,Marina Del Rey,(424) 353-0295,https://skystacos.com/mdr,@skystacos
Larayia's Bodega,MacArthur Park,(818) 357-9114,https://larayias-bodega.business.site/,@larayiasbodega
Little Amsterdam Coffee,Mid-City,(323) 452-9124,https://littleamsterdamcoffee.net/,@little.amsterdam.coffee
Natraliart Jamaican Restaurant,Mid-City,(323) 732-8865,https://www.natraliartrestaurant.com/,@natraliart
Phillips Bar-B-Que,Mid-City,(323) 731-4772,https://www.yelp.com/biz/phillips-barbecue-los-angeles-3,N/A
Simply D’Licious,Mid-CIty,(562) 326-6863,https://simplydliciousla.com/,@simplydliciousla
Wijammin Cafe,Mid-CIty,(323) 936-1039,https://www.wijammincafe.com/,@wijammincarribean
Flavors From A Far,Mid-Wilshire,(714) 623-9420,https://www.flavorsfromafar.co/,@flavorsfromafar.co
My Two Cents,Mid-Wilshire,(323) 879-9881,http://mytwocentsla.com/,@my2centsla
Pips on La Brea,Mid-Wilshire,(323) 954-7477,https://www.pipsonlabrea.com/index.html,@pipsonlabrea
Roscoe's Chicken and Waffles,Mid-Wilshire,(323) 934-4405,https://www.roscoeschickenandwaffles.com/,@roscoesofficial
Sky's Gourmet Tacos,Mid-Wilshire,(323) 932-6253,https://skystacos.com/los-angeles,@skystacos
Stevie's Creole Cafe,Mid-Wilshire,(323) 413-2494,http://www.steviescreolecafe.com/,@steviesonpico
Tacos Negros,Mid-Wilshire,N/A,https://www.instagram.com/tacosnegrosla/,@tacosnegrosla
D's Original Take Out Grill,Morningside Park,(323) 971-3663,https://www.dsogtakeoutgrill.com/,@chefdsoriginalcatering
Fish Bone Seafood,Morningside Park,(323) 615-0041,https://fishboneseafood.com/fishbone-seafood-los-angeles/,@fishboneseafood
Black Bottom Southern Kitchen,North Hollywood,(818) 856-8532,https://blackbottomkitchen.com/,@blackbottomsouthernkitchen
BlaqHaus NoHo,North Hollywood,(818) 332-0500,https://www.restaurantnoho.com/,@blaqhausnoho
The Original Coleys,North Hollywood,(818) 261-7680,https://www.instagram.com/the_original_coleys/?hl=en,@the_original_coleys
The Memphis Grill,North Hollywood,(818) 738-9993,https://www.thememphisgrill.com/,@thememphisgrill
Lee Esther's Creole & Cajun Cooking,Palmdale,(661) 266-0000,https://www.leeesthers.com,@leeestherscreole
Parrains Soul Food,Paramount,(562) 634-6050,https://www.yelp.com/biz/parrains-soulfood-paramount,@parrains_soulfood
Hilltop Coffee + Kitchen,Park-Windsor Hills,(323) 815-9833,https://www.findyourhilltop.com/,@findyourhilltop
Crustees,Park-Windsor Hills,(323) 815-9910,https://www.crusteeseatery.com/,@crustees
Bonnie B's Smokin BBQ Heaven,Pasadena,(626) 794-0132,https://www.bonniebssmokin.com/,@bonniebssmokinbbq
My Place Cafe,Pasadena,(626) 797-9255,https://www.yelp.com/biz/my-place-cafe-pasadena?utm_source=ishare,@myplacecafepas
Pasadena Fish Market,Pasadena,(626) 792-9233,https://www.yelp.com/biz/pasadena-fish-market-pasadena,N/A
Perry's Joint,Pasadena,(626) 798-4700,https://perrysjoint.com/,@perrysjoint
Roscoe's Chicken and Waffles,Pasadena,(626) 791-4890,https://www.roscoeschickenandwaffles.com/,@roscoesofficial
The Gourmet Cobbler Factory,Pasadena,(626) 795-1005,https://cobblerfactorypasadena.com/,@thegourmetcobblerfactory
Cafe? Ruisseau,Playa Vista,(323) 561-0223,https://caferuisseau.com/,@cafe_ruisseau
Day Day's BBQ & Waffle House,Pomona,(909) 622-3217,http://days-bbq-and-waffle.top-cafes.com/,@daydaysbbqandwafflehse
Hilltop's Jamaican Market & Restaurant,Pomona,(909) 629-6407,http://www.hilltopsjamaican.com/,N/A
Munchies Diner,Santa Ana,(657) 699-3076,https://www.munchiesvegandiner.com/,@munchiesdiner
SCV Fish Market,Santa Clarita,(661) 481-0330,https://scvfishmarket.net/,@scvfishmarket
The D.W. Cookie Co.,Santa Clarita,(661) 505-0781,https://www.yelp.com/biz/the-dw-cookie-co-santa-clarita-2,N/A
Compton Vegan,Sawtelle,(310) 596-6690,https://comptonvegan.com/,@comptonvegan
Jackfruit Cafe,Sawtelle,(818) 481-4111,https://jackfruitcafe.com/,@jackfruitcafe
T&T Lifestyle,Sawtelle,(310) 699-8642,https://www.tandtlifestylelosangeles.com/,@tandtlifestyle
Fat Tuesday,Sherman Oaks,(818) 208-9838,https://www.eatatfattuesday.com/,@eatatfattuesday
Lettuce Feast,Sherman Oaks,(424) 261-3659,https://www.lettucefeast.online/,@lettucefeastla
My Fish Stop,Sherman Oaks,(888) 469-9980,https://www.myfishstop.com/,@myfishstop
Dirty South Soulfood,South Gate,(323) 537-8007,https://www.dirtysoulfood.shop/,@dirtysoulfood
Coffee Del Mundo,South LA,(323) 455-0285,https://coffeedelmundo.com/,@coffeedelmundola
Roscoe's Chicken and Waffles,South LA,(323) 752-6211,https://www.roscoeschickenandwaffles.com/,@roscoesofficial
Hyperion Public,Silver Lake,(323) 761-6440,http://www.hyperionpublic.com/silver-lake,@hyperionpublic
Phat Birds,Silver Lake,(323) 943-9191,https://phatbirds.com/,@phatbirds
Say Cheese,Silver Lake,(323) 665-0545,http://www.saycheeselosangeles.com/,@saycheeselosangeles
Fresh and Meaty Burgers,Studio City,(818) 927-4051,https://www.bestturkeyburgerlosangeles.com/,@freshandmeatyburgers
Sattdown Jamaican Grill,Studio City,(818) 766-3696,http://sattdownjamaicangrill.com/,@sattdownjamaicangrill
Uncle Andre’s BBQ,Studio City,(818) 763-8414,https://www.soulofamerica.com/us-cities/los-angeles/la-restaurants-nightclubs/uncle-andres/,@uncleandresbbq
Ranchside Cafe,Sylmar,(818) 834-0031,http://www.ranchsidecafe.com/,@ranch_side_cafe
Fish Bone Seafood,Tarzana,(818) 975-8083,https://fishboneseafood.com/fishbone-seafood-tarzana/,@fishboneseafood
Obet & Del’s Coffee,Thai Town,(213) 770-0133,https://www.yelp.com/biz/obet-and-dels-coffee-los-angeles,@obetandels
Lotus Vegan,Toluca Lake,â€‹â€‹(727) 549-1688,https://www.lotusvegan.us/,@lotusvegan
Fish Bone Seafood,Torrance,(323) 814-2400,https://fishboneseafood.com/fishbone-seafood-carson/,@fishboneseafood
Pepper's Jamaican Cuisine,Van Ness,(323) 389-8053,https://www.instagram.com/peppersjamaicancuisine_/?hl=en,@peppersjamaicancuisine_
Jaliz East African Cuisine,Van Nuys,(818) 5712188,http://jalizcuisine.com/,N/A
Mom's Haus,Van Nuys,(818) 786-1373,https://www.yelp.com/biz/moms-haus-van-nuys,@eatmomshaus
Sweet Blessings,Van Nuys,(818) 285-8437,https://www.sweetblessingsla.com/,@sweet_blessings_
Hawkin's House of Burgers,Watts,(323) 563-1129,http://www.hawkinsburgers.com/,@hawkinshob
Watts Coffee House,Watts,(323) 249-4343,https://www.facebook.com/whereweprepareourfoodwithLOVE/,@wattscoffeehouse
Alta Adams,West Adams,(323) 571-4999,https://www.altaadams.com/,@altarestaurant
Adams Coffee Shop,West Adams,(323) 571-4111,https://www.altaadams.com/new-page-3,@adamscoffeeshop
Chef Marilyn's,West Adams,(323) 737-8101,https://www.chefmarilyns2638.com/,@marilynchef
Just Turkey,West Adams,(323) 591-0277,http://justturkeyla.com/,@just_turkey_la
The Court Cafe,Westchester,(310) 431-4969,https://www.instagram.com/thecourtcafe_inc/?hl=en,@thecourtcafe_inc
Brandoni Pepperoni,West Hollywood,(323) 306-4968,https://www.brandoni-pepperoni.com/,@la_brandoni_pepperoni
La Louisanne,Windsor Hills,(323) 293-5073,http://www.lalouisannela.com/,N/A
Little Kingston Jamaican Restaurant,Windsor Hills,(323) 295-5596,https://www.instagram.com/jamaicaonthego/,@jamaicaonthego
Simply Wholesome,Windsor Hills,(323) 294-2144,https://www.simplywholesome.com/,@simplywholesome
The Snoball Shop,Windsor Hills,(323) 292-3145,http://www.snoballshop.com/,@snoballshop
